policy_id,policy_name,summary,district,source,detail_url,정책 유형,주관 기관,정책 소개,지원 내용,사업운영기간,사업신청기간,지원규모,관련 사이트,연령,학력,전공요건,취업상태,특화분야 요건,추가단서 사항,참여제한 대상,신청절차,심사 및 발표,제출서류,신청 사이트,기타사항,운영기관,참고 사이트 Ⅰ,참고 사이트 Ⅱ
V202600008,2026 청년 골목창업 지원,"ㅇ 청년창업 지원을 통한 혁신적인 청년 사업가 양성
ㅇ 지속가능한 골목창업환경 조성을 통한 지역경제 활성화",,서울시,https://youth.seoul.go.kr/infoData/plcyInfo/view.do?plcyBizId=V202600008&tabKind=001,일자리,서울특별시 소상공인정책과,"ㅇ 청년창업 지원을 통한 혁신적인 청년 사업가 양성
ㅇ 지속가능한 골목창업환경 조성을 통한 지역경제 활성화","- (이론교육) 상권분석, 임대차계약, 마케팅, 위생관리 등 창업 및 경영에 필수적인 주제별 강의 실시
- (실습교육) 전문가 1:1 코칭으로 레시피 개발 지원 및 품평회를 통한 실습 결과물 평가, 보완기회 제공
- (멘 토 링) 선배 사업가 멘토풀 활용, 경영 노하우 전수
- (사후관리) 창업 전후 컨설팅, 홍보 마케팅, 창업자금 최대 7천만원 융자지원",,2026.3.1. ~ 2026.3.31.,60,,만 19~39세,,,,,ㅇ 연령 : 만 19세~만 39세(※ 의무복무 제대군인 복무기간 최대 3년 가산),,상반기 : 신청마감,,,https://youth.seoul.go.kr/content.do?key=2310100025,,서울특별시 소상공인정책과,https://youth.seoul.go.kr,
V202600007,2026 청년쿡 비즈니스센터 운영,청년 푸드산업 스타트업 창업 활성화를 위한 성장 기반 마련,,서울시,https://youth.seoul.go.kr/infoData/plcyInfo/view.do?plcyBizId=V202600007&tabKind=001,일자리,서울특별시 청년사업담당관,청년 푸드산업 스타트업 창업 활성화를 위한 성장 기반 마련,푸드산업 청년 스타트업 성장을 위한 프로그램 지원,2025.1월~12월,2025.1월~12월,"총 20개사 (입주 10개사, 비입주 10개사)",,만 19~39세,,,,,,,상반기 : 신청마감,,,https://youth.seoul.go.kr/content.do?key=2310100028,,,https://youth.seoul.go.kr,
V202600006,2026 청년 부동산 중개보수 및 이사비 지원사업,이사가 잦은 청년가구의 주거비 부담을 완화하고 생활 안전망을 강화하기 위한 사업,,서울시,https://youth.seoul.go.kr/infoData/plcyInfo/view.do?plcyBizId=V202600006&tabKind=001,주거,서울특별시 청년주거과,이사가 잦은 청년가구의 주거비 부담을 완화하고 생활 안전망을 강화하기 위한 사업,"ㅇ 지원금액 : 최대 40만원 한도 내 실비 지원 (생애 1회)
ㅇ 지원내용 : 부동산 중개보수 및 이사비용.
* 부동산 중개보수 및 이사비 중 한 가지만 신청도 가능",,[상반기] 2026.4.1.(수) 10:00 ~ 2026.4.14.(화) 18:00 [하반기] 2026.8.18.(화) 10:00 ~ 2026.8.31.(월) 18:00,"총 8,000명
※상반기 4,000명, 하반기 4,000명",,서울로 전입 또는 서울 내에서 이사한 19~39세 청년,,,,,"ㅇ 선정방법 : 사회적 약자 및 주거취약청년 우선 선발 후 소득 낮은 순 선정
ㅇ 지급방법 : 개인별 계좌 입금","‣ ’22.1.1.이후 서울시로 전입 또는 서울시 내에서 이사 후 市 혹은 타 기관(중앙부처, 자치구 등)에서 부동산 중개보수 및 이사비 지원받은 사람
‣ 부모 소유 주택에 임차하는 경우
‣ 국민기초생활수급자 중 생계·의료·주거급여 수급자
‣ 기타 사업 취지에 부합하지 않다고 판단되는 경우",ㅇ 청년몽땅정보통(youth.seoul.go.kr) 온라인 신청,"[상반기]
ㅇ 서류심사 결과 : 2026년 6월 중순
- 서류심사 결과 통보일로부터 10일 이내 이의신청 및 소명·보완자료 제출 가능
ㅇ 최종심사 결과 : 2026년 8월 초
ㅇ 지원금 지급 : 2026년 8월 중순
[하반기]
ㅇ 서류심사 결과 : 2026년 10월 말 (예정)
- 서류심사 결과 통보일로부터 10일 이내 이의신청 및 소명·보완자료 제출 가능
ㅇ 최종심사 결과 : 2026년 11월 말(예정)
ㅇ 지원금 지급 : 2026년 12월 초 (예정)",* 공고문 참고,https://youth.seoul.go.kr/youthConts.do?key=2310100044&sc_pbancSeCd=015&sc_bbsStngSn=2212200001&sc_bbsCtgrySn=2310200013&sc_qnaCtgryCd=002&sc_faqCtgryCd=003,"ㅇ 선정 결과: 청년몽땅정보통 마이페이지 및 신청자 개별 문자 안내
ㅇ 기타 문의: 청년 부동산 중개보수 및 이사비 지원사업 콜센터 ☎ 1877-9358",서울특별시 청년주거과,https://youth.seoul.go.kr/youthConts.do?key=2310100044&sc_detailAt=&pageIndex=1&orderBy=regYmd+desc&tabKind=200&pwKind=&sc_pbancSe=&sc_pbancSeCd=015&sc_bbsStngSn=2212200001&sc_bbsCtgrySn=2310200013&sc_pstSn=0&sc_rvwSn=0&sc_userId=&sc_ntcPstYn=&sc_delYn=&sc_ctgry=&useYn=&sc_faqCtgryCd=003&sc_qnaCtgryCd=002&sc_plcyQnaSn=0&sc_myPstYn=&recordCountPerPage=10,
V202600005,2026 서울 청년수당,"ㅇ 서울에 거주하고 있는 만 19세~34세 미취업 또는 단기 근로 청년에게 활동지원금(월 50만원 최대 6개월)을 지급하고, 강점진단 종합지원, 멘토링, 취업지원 프로그램 제공 등 청년 니즈에 맞게 프로그램 연계를 지속 지원하는 사업",,서울시,https://youth.seoul.go.kr/infoData/plcyInfo/view.do?plcyBizId=V202600005&tabKind=001,복지.문화,서울특별시 청년사업담당관,"ㅇ 서울에 거주하고 있는 만 19세~34세 미취업 또는 단기 근로 청년에게 활동지원금(월 50만원 최대 6개월)을 지급하고, 강점진단 종합지원, 멘토링, 취업지원 프로그램 제공 등 청년 니즈에 맞게 프로그램 연계를 지속 지원하는 사업",ㅇ 미취업 청년이 진로 탐색 및 목표 달성에 집중할 수 있도록 금전적 지원과 성장 지원을 통해 사회안전망 제공,,2026. 5. 27.(수) 10:00 ~ 2026. 5. 29.(금) 16:00,"만19~34세 최종학력 졸업 이후 미취업 청년 6,000명 이내",,만19세~34세 (출생일이 1991년 5월 1일~2007년 5월 31일인 자),,,"미취업자만 신청가능 단, 주30시간 이하 또는 3개월 이하 단기근로자 신청 가능",,,,,,,https://youth.seoul.go.kr/youthConts.do?key=2310100061&sc_pbancSeCd=012&sc_bbsStngSn=2212200001&sc_bbsCtgrySn=2310200011&sc_qnaCtgryCd=004&sc_faqCtgryCd=005,,,https://youth.seoul.go.kr,
V202600004,2026 서울청년문화패스,사회에 첫발을 내딛는 청년에게 공연 및 전시를 관람할 수 있는 문화이용권(바우처)을 지급하여 청년의 문화권 향상 및 문화예술계 활성화 도모,,서울시,https://youth.seoul.go.kr/infoData/plcyInfo/view.do?plcyBizId=V202600004&tabKind=001,복지.문화,서울특별시 문화정책과,사회에 첫발을 내딛는 청년에게 공연 및 전시를 관람할 수 있는 문화이용권(바우처)을 지급하여 청년의 문화권 향상 및 문화예술계 활성화 도모,"공연과 전시 관람에 사용할 수 있는 1인당 최대 20만원 상당의 문화이용권(바우처) 지급
- (관람분야) 공연(연극, 뮤지컬, 클래식, 오페라, 무용, 국악) 및 전시
- (관람방법) 서울청년문화패스 전용 홈페이지에서 예매 후 관람
- (예매기준) 예매 건당 10만원 이내 사용",,2025.12.22. ~  예산 소진 시까지,"약 50,000명",,21세~24세(2002~2005년생),제한없음,제한없음,제한없음,제한없음,"- 연령 : 21~24세 (제대군인의 경우 복무기간에 따라 최대 3년 이내 연령 가산)
- 거주지 : 신청일 기준 주민등록/외국인등록대장 기준 서울 거주
- 소득 : 신청일 기준 건강보험료 본인부담금 기준 중위소득 150% 이하
※신청시 제공한 주민등록번호(외국인등록번호)와 ‘개인정보 수집·이용 및 제3자 제공 동의’에 따라 모집 마감 후 공공마이데이터 또는 국민건강보험공단에 조회
※신청자가 지역 세대원 또는 직장 피부양자인 경우 부양자 부과액 기준
※가구원수는 건강보험에 함께 등재된 사람을 기준으로 산정",2023~2025년 기선정자 지원 제외,"청년몽땅정보통(youth.seoul.go.kr)에서 온라인 신청
ㅇ 청년몽땅정보통 → 교육문화 → 서울청년문화패스 → 신청하기
□ 신청 시 필수 입력 정보(주민등록 또는 외국인등록대장 기준)
ㅇ 이름, 성별, 주소, 연락처(휴대전화, 이메일)
ㅇ 주민등록번호(외국인등록번호)
※ 입력 정보가 실제와 다를 경우 선정이 취소될 수 있음
□ 동의서 작성(필수) : 개인정보 수집·이용, 고유식별정보 처리, 제3자 제공, 본인 행정정보 제공 요구서 동의
ㅇ 수집정보 : 성명, 주민등록번호, 휴대전화(연락처), 이메일, 성별, 주소, 건강보험 관련 정보, 병역 관련 정보
ㅇ 활 용 : 행정정보 공동이용 비대면 자격확인 서비스를 활용하여 신청 시 나이, 거주지 즉시 확인 및 공공마이데이터 활용을 통한 건강보험료 확인","□발표일 : 청년몽땅정보통 공지사항에 자세한 접수 일정 참고
□발표방법 : 선정자 개별 문자 발송 및 청년몽땅정보통 ‘마이페이지’ 확인",별도 제출서류 없음,https://youth.seoul.go.kr/youthConts.do?key=2310200023&sc_pbancSeCd=005&sc_bbsStngSn=2212200001&sc_bbsCtgrySn=2310200005&sc_qnaCtgryCd=&sc_faqCtgryCd=002,콜센터 ☎1533-3427[평일 업무시간(9~12시/13~18시) 이용가능],서울특별시,https://www.youthcultureseoul.kr,
V202600003,2026 학자금 대출이자 지원사업,고비용의 대학(원) 등록금 학자금대출로 인해 부채 문제에 직면한 청년들에게 학자금 대출이자를 지원하여 청년 부채 문제 경감 도모,,서울시,https://youth.seoul.go.kr/infoData/plcyInfo/view.do?plcyBizId=V202600003&tabKind=001,복지.문화,서울특별시 미래청년기획관,고비용의 대학(원) 등록금 학자금대출로 인해 부채 문제에 직면한 청년들에게 학자금 대출이자를 지원하여 청년 부채 문제 경감 도모,"대학생은 학업에 집중할 수 있도록, 학부모는 가계부담을 덜 수 있도록 학자금 대출이자를 지원하는 사업입니다. 한국장학재단에서 대출받은 학자금의 대출이자를 지원하여 실질적인 상환 부담을 줄이고자 하는 제도입니다.",,2026.2.6.(금) 10:00 ~ 3.18.(수) 18:00,"30,000명",,19세 ~ 39세,,,,,"- 소득7분위 이하의 서울지역 대학(원)생(졸업생은 졸업 후 5년 이내까지 지원 가능)
- 소득8분위 이상은 예산 등을 고려하여 심의위원회 심의를 통해 지원 여부 결정
※ 소득 구간 : 한국장학재단 대출 신청일을 기준으로 하되, 한국장학재단에 소득분위 정보가 없는 경우, 2025년도 소득구간을 기준으로 산정
- 다자녀 가구 대학(원)생은 소득수준 제한 없음",,청년몽땅정보통(https://youth.seoul.go.kr)에서 온라인 접수된 경우만 인정,2026.7월말(예정),"① [필수] 대학(원) 재학 및 졸업증명서 등 재학․졸업 증명 가능 서류
② [선택] 가족관계증명서 (다자녀인 경우만 제출)
③ [예외] 신청자가 ‘본인’이 아닌 경우(신청자≠지원대상) 주민등록등․초본
- 본인이 아닌 부모, 형제자매 등이 신청한 경우 주민등록등·초본 제출 필수
* 신청자가 본인인 경우 개인정보 제3자 제공 동의 시 제출 불필요
④ [예외] 소득분위정보가 없는 경우 건강보험료납부확인서(직장, 지역가입자), 건강보험자격확인서",https://youth.seoul.go.kr,"① 본인 외의 자가 신청하는 경우 : 주민등록등본 또는 초본 제출
② 한국장학재단 홈페이지 內 등록정보 최신화 요청
- 본 사업 지원 신청 시에 개명 여부 및 연락처 등 정보 최신화 필요
► 최신화 경로 : 한국장학재단 홈페이지➔마이페이지➔서비스이용자정보 수정
► 개명의 경우 : 콜센터(1599-2000)에 별도 연락 필요
③ 증빙서류 제출시 “열람용”은 인정 불가, 정식 발급된 서류 제출 요청",서울특별시 미래청년기획관, https://youth.seoul.go.kr/youthConts.do?key=2310100074&sc_pbancSeCd=002&sc_bbsStngSn=2212200001&sc_bbsCtgrySn=2310200003&sc_qnaCtgryCd=&sc_faqCtgryCd=006,
V202600002,2026 학자금대출 신용회복(신용유의자 해제) 지원사업,학자금 대출로 신용유의자가 되어 사회진입에 어려움을 겪는 청년들에게 신용회복 지원함으로써 건강한 금융생활 도모,,서울시,https://youth.seoul.go.kr/infoData/plcyInfo/view.do?plcyBizId=V202600002&tabKind=001,복지.문화,서울특별시 미래청년기획관,학자금 대출로 신용유의자가 되어 사회진입에 어려움을 겪는 청년들에게 신용회복 지원함으로써 건강한 금융생활 도모,"- (서울시) 분할상환약정 체결을 위한 ‘초입금 지원’(채무금액의 5%)
- (한국장학재단) 분할상환약정 체결을 통한 신용유의자 등록 해제",,2026.02.06. 10:00 ~ 2026.11.20. 18:00,260명,,"만 19세 ~ 39세 (※ 단, 제대군인의 경우, 군복무기간에 따라 최대 42세까지 지원 가능)",,,,,,"2017년~2025년 중  동 사업을 지원받았거나, 타지자체·기관에서 유사한 지원을 받은 사람은 2026년 지원대상에서 제외됨.",청년몽땅정보통에서 온라인 접수,2월부터 월 1~2회 수시 심사 및 결과 안내,"※ 원칙적으로 별도 서류 제출이 불필요하나, 만 40~42세인 제대군인의 병역기간 확인이 되지 않을 경우, '병적증명서' 또는 '주민등록초본'을 반드시 첨부해야 함.",https://youth.seoul.go.kr/youthConts.do?key=2310100075&sc_pbancSeCd=001&sc_bbsStngSn=2212200001&sc_bbsCtgrySn=2310200002&sc_qnaCtgryCd=&sc_faqCtgryCd=007,"- 신용유의자 등록 여부는 신청 전 본인이 직접 한국장학재단 대출상환상담센터(1599-2250)에서 확인해야 함.
- 문의 : 다산콜센터  ☎ 120",서울시 미래청년기획관,https://mediahub.seoul.go.kr/archives/2010129,
V202600001,2026 서울시 취업날개 서비스 지원,ㅇ 물가상승과 취업난으로 경제적 부담을 겪고 있는 구직 청년들을 지원,,서울시,https://youth.seoul.go.kr/infoData/plcyInfo/view.do?plcyBizId=V202600001&tabKind=001,일자리,경제일자리기획관 일자리정책과 동행일자리팀,ㅇ 물가상승과 취업난으로 경제적 부담을 겪고 있는 구직 청년들을 지원,"ㅇ (사업 근거)
- 「청년고용촉진 특별법」제3조(국가 및 지방자치단체 등의 책무)
- 「서울특별시 청년 기본 조례」제12조(청년의 고용확대 등)
- 「서울특별시 청년일자리 기본 조례」제12조(행정적·재정적 지원)
ㅇ (추진 경과)
- ’16년도 취업날개 서비스 최초 시행계획 수립
- 청년구직비용 절감을 위한 재정적 지원 근거 신설
ㅇ (사업 기간)
- ’16년~ (계속사업)
ㅇ (사업 대상)
- 서울시 거주 청년(고교졸업예정자 ∼ 39세 )
※ 주민등록 및 추가 증빙 등을 통하여 서울에 거소를 두고 있음이 확인된 청년
ㅇ (사업 내용)
- 구직용 면접정장 무료대여(1인당 연간 최대 10회)
ㅇ (사업비) 2,323백만원 (지방비 100%)",2026.01.16.~2026.12.31.,2026.01.16.~2026.12.31.,"60,000명",,고교졸업예정자 ~ 39세,제한없음,제한없음,제한없음,제한없음,"대여업체 문의가능 연락처
- 서울시 일자리포털 > 취업지원 > 취업날개 > 대여업체 소개","- 실제 회사 면접에 참여하는 경우만 대여 인정(대학원 면접 또는 모의면접에 참여할 경우 불인정)
- 증빙서류가 없는 경우 대여 불가, 대여시 증빙서류 지참",서울시 통합회원 가입 후 서울일자리포털 로그인하여 온라인 신청,면접증빙자료 등 확인 후 알림톡 안내,"- 서울 거주 사실을 증명할 수 있는 서류
- 실제 면접을 보는 회사의 면접확인 서류를 회사명, 면접일, 연락처 등이 보여지도록 캡처하여 업로드
- 전화로 면접을 통보받았을 경우 취업지원 사실을 확인할 수 있는 자료 제출",https://job.seoul.go.kr/hmpg/main/main.do?sso=ok,,,https://www.seoul.go.kr,
V202500054,긴급생활안정자금 이자지원 사업,부채 문제 경감 지원으로 청년들의 경제적 자립 및 건전한 신용회복 도모,,서울시,https://youth.seoul.go.kr/infoData/plcyInfo/view.do?plcyBizId=V202500054&tabKind=001,복지.문화,서울특별시 미래청년기획관,부채 문제 경감 지원으로 청년들의 경제적 자립 및 건전한 신용회복 도모,"서울시-신용회복위원회-신한은행 협약에 의하여 신용회복위원회에서 소액금융 대출제도(서울특별시 한강론) 운영
1인당 최대 15백만원 내 긴급자금(의료비, 긴급생활비 등) 대출(연금리 3%, 대출지원기간 최대 60개월)",2012년 ~ (계속),2012년 ~ (계속),,,주민등록상 서울시 거주 만19세 ~39세,,,,,"채무조정, 개인회생자 중 성실 상환자 및 완제자 (※자세한 사항은 신용회복위원회 문의 必)",,"자세한 방법은 신용회복위원회 홈페이지 또는 콜센터(☎ 1600-5500) 확인
(신용회복위원회 > 소액금융 > 소액금융지원 소개 > 대출종류 > 서울특별시 한강론)",,,,신청 대상여부는 신용회복위원회 콜센터(☎ 1600-5500) 문의하여 확인,서울시 미래청년기획관,https://www.ccrs.or.kr/main.do,
20250618005400211019,2025 서울 청년 취업 멘토링 페스타,"직무 멘토링, 서울청년 서울생활 꿀팁 전시, 市 청년정책 1:1 상담, 정책 팝업 체험 등 참여 모습 참관, AI 면접체험 및 청년응원메시지 작성",,서울시,https://youth.seoul.go.kr/infoData/plcyInfo/view.do?plcyBizId=20250618005400211019&tabKind=001,일자리,청년사업담당관,"직무 멘토링, 서울청년 서울생활 꿀팁 전시, 市 청년정책 1:1 상담, 정책 팝업 체험 등 참여 모습 참관, AI 면접체험 및 청년응원메시지 작성","ㅇ 일    시 : ’25. 6. 19.(목) ~ 6. 21.(토) 3일간 11:00 ~ 20:00
ㅇ 장    소 : 더 가베 성수 (성동구 연무장13길 11)
ㅇ 참 석 자 : 청년수당 참여자, 기업 멘토(재능기부), 일반청년 등 약 10,000명
ㅇ 주요내용 : ➊연사 특강 + ➋직무멘토링 + ➌정책홍보
- (연사 특강) 기업 현직자 특강 및 인플루언서 성장 토크쇼, 모의면접 등
- (취업멘토링) 글로벌․대기업․스타트업 직무별 재능기부 멘토링 등
- (정책홍보) 서울청년 서울생활 꿀팁․정책상담․팝업 등 市 핵심 정책 공유․확산",,20250605 ~ 20250621,0,,만 19세 ~ 만 39세,제한없음,제한없음,제한없음,제한없음,,,,,,,,,https://www.sype.kr/,
